"sex","la","year","e50","e65","e80"
"male","E06000002",2003,74.5483870967742,77.7437379576108,84.4027777777778
"male","E06000002",2004,74.7562893081761,78.0698113207547,84.8834080717489
"male","E06000002",2005,75.3660436137072,78.6412639405204,84.740157480315
"male","E06000002",2006,75.1459293394777,78.7369402985075,84.9076923076923
"male","E06000002",2007,75.5665024630542,79.0785854616896,85.1067193675889
"male","E06000002",2008,75.4802744425386,79.1780538302277,85.0971659919028
"male","E06000002",2009,75.718954248366,79.3444881889764,85.2140077821012
"male","E06000002",2010,75.9260450160772,79.829702970297,85.3529411764706
"male","E06000002",2011,76.0449050086356,79.5394190871369,85.3062015503876
"male","E06000002",2012,75.9831932773109,79.1736526946108,85.3320754716981
"male","E06000002",2013,76.7749196141479,80.1235741444867,85.8624161073825
"male","E06000003",2001,NA,NA,NA
"male","E06000003",2002,75.2207602339181,78.6418439716312,84.9189189189189
"male","E06000003",2003,75.6800595238095,78.959219858156,85.0801393728223
"male","E06000003",2004,75.4162011173184,78.7408637873754,85.1137931034483
"male","E06000003",2005,75.2489146164978,78.5008665511265,85.27734375
"male","E06000003",2006,76.0967741935484,79.3053435114504,85.3874538745387
"male","E06000003",2007,75.6630934150077,78.9835466179159,85.4379562043796
"male","E06000003",2008,76.2153846153846,79.4036363636364,85.3741258741259
"male","E06000003",2009,76.2963525835866,79.3528368794326,85.347972972973
"male","E06000003",2010,76.5779334500876,79.1730382293763,85.0909090909091
"male","E06000003",2011,76.8097643097643,79.681640625,85.2190812720848
"male","E06000003",2012,76.7375,79.4136690647482,85.5
"male","E06000003",2013,77.545045045045,80.2178387650086,85.8006134969325
"male","E06000004",2001,NA,NA,NA
"male","E06000004",2002,74.5236220472441,78.0945512820513,84.9015151515152
"male","E06000004",2003,74.7409793814433,78.1495327102804,84.9208633093525
"male","E06000004",2004,74.8344198174707,77.9766355140187,84.9779411764706
"male","E06000004",2005,75.1857142857143,78.6118935837246,84.9057239057239
"male","E06000004",2006,75.936,79.2126984126984,85.0638977635783
"male","E06000004",2007,75.2368421052632,79.0970724191063,85.405750798722
"male","E06000004",2008,75.3914780292943,78.8301282051282,84.9902597402597
"male","E06000004",2009,75.9239401496259,79.3892215568862,85.1488764044944
"male","E06000004",2010,76.0226364846871,79.3249211356467,85.3067484662577
"male","E06000004",2011,76.3683473389356,79.444262295082,85.5759493670886
