"la","year","sex","med_le_0","med_le_50","med_le_65","med_le_80"
"E06000016",2012,"female",85,86,86,90
"E06000016",2012,"male",82,82,83,88
"E06000016",2013,"female",85,85,86,89
"E06000016",2013,"male",81,82,83,88
"E06000017",2002,"female",88,88,89,90
"E06000017",2002,"male",82,82,84,86
"E06000017",2003,"female",85,86,86,89
"E06000017",2003,"male",82,83,83,86
"E06000017",2004,"female",87,87,87,89
"E06000017",2004,"male",84,85,85,89
"E06000017",2005,"female",89,89,89,NA
"E06000017",2005,"male",84,85,86,89
"E06000017",2006,"female",87,87,87,88
"E06000017",2006,"male",85,85,86,89
"E06000017",2007,"female",87,88,88,89
"E06000017",2007,"male",84,85,86,87
"E06000017",2008,"female",87,88,88,90
"E06000017",2008,"male",85,85,86,88
"E06000017",2009,"female",86,87,87,89
"E06000017",2009,"male",84,84,86,90
"E06000017",2010,"female",88,88,88,90
"E06000017",2010,"male",86,86,86,89
"E06000017",2011,"female",88,88,88,90
"E06000017",2011,"male",86,86,87,90
"E06000017",2012,"female",88,88,89,90
"E06000017",2012,"male",85,85,86,88
"E06000017",2013,"female",89,90,90,NA
"E06000017",2013,"male",84,85,86,88
"E06000018",2002,"female",82,83,84,89
"E06000018",2002,"male",77,78,80,86
"E06000018",2003,"female",82,83,84,88
"E06000018",2003,"male",76,77,80,86
"E06000018",2004,"female",83,84,85,88
"E06000018",2004,"male",76,78,80,87
"E06000018",2005,"female",83,84,85,88
"E06000018",2005,"male",78,79,81,87
"E06000018",2006,"female",84,84,86,90
"E06000018",2006,"male",78,79,80,87
"E06000018",2007,"female",84,85,86,89
"E06000018",2007,"male",79,80,82,86
"E06000018",2008,"female",84,84,85,89
"E06000018",2008,"male",78,79,81,87
"E06000018",2009,"female",84,84,85,89
"E06000018",2009,"male",79,80,82,87
"E06000018",2010,"female",85,86,87,90
"E06000018",2010,"male",80,80,83,87
"E06000018",2011,"female",85,86,87,90
"E06000018",2011,"male",80,81,82,87
"E06000018",2012,"female",84,84,85,90
"E06000018",2012,"male",80,81,82,87
"E06000018",2013,"female",85,85,86,89
"E06000018",2013,"male",80,81,83,87
"E06000019",2002,"female",86,86,87,89
"E06000019",2002,"male",81,82,83,87
"E06000019",2003,"female",86,86,87,89
"E06000019",2003,"male",81,82,83,87
"E06000019",2004,"female",87,87,88,90
"E06000019",2004,"male",81,82,83,88
"E06000019",2005,"female",86,86,87,89
"E06000019",2005,"male",82,83,84,88
"E06000019",2006,"female",86,86,87,89
"E06000019",2006,"male",82,83,84,87
"E06000019",2007,"female",87,87,87,89
"E06000019",2007,"male",81,81,83,87
"E06000019",2008,"female",87,87,87,89
"E06000019",2008,"male",84,84,85,88
"E06000019",2009,"female",86,87,87,90
"E06000019",2009,"male",83,84,85,88
"E06000019",2010,"female",87,87,88,90
"E06000019",2010,"male",84,84,85,88
"E06000019",2011,"female",87,88,88,90
"E06000019",2011,"male",83,84,85,88
"E06000019",2012,"female",88,88,88,90
"E06000019",2012,"male",84,85,85,88
"E06000019",2013,"female",88,88,89,90
"E06000019",2013,"male",84,84,85,88
"E06000020",2002,"female",83,84,85,89
"E06000020",2002,"male",78,79,80,87
"E06000020",2003,"female",83,84,84,89
"E06000020",2003,"male",79,79,81,88
"E06000020",2004,"female",84,84,85,88
"E06000020",2004,"male",80,80,82,87
"E06000020",2005,"female",84,84,85,88
"E06000020",2005,"male",80,80,81,86
"E06000020",2006,"female",84,85,85,89
"E06000020",2006,"male",81,82,83,87
"E06000020",2007,"female",85,85,86,89
"E06000020",2007,"male",80,80,82,87
"E06000020",2008,"female",84,85,86,89
"E06000020",2008,"male",81,82,84,87
"E06000020",2009,"female",85,86,87,89
"E06000020",2009,"male",81,82,83,87
"E06000020",2010,"female",85,86,86,89
"E06000020",2010,"male",81,82,83,87
"E06000020",2011,"female",86,87,87,90
"E06000020",2011,"male",81,82,83,87
"E06000020",2012,"female",85,86,86,89
"E06000020",2012,"male",82,83,84,88
"E06000020",2013,"female",86,86,87,89
"E06000020",2013,"male",83,83,84,87
"E06000021",2002,"female",82,82,84,88
"E06000021",2002,"male",77,78,80,86
"E06000021",2003,"female",82,82,84,88
"E06000021",2003,"male",77,78,80,86
"E06000021",2004,"female",82,83,84,88
"E06000021",2004,"male",77,78,80,86
"E06000021",2005,"female",83,84,85,88
"E06000021",2005,"male",77,79,80,86
"E06000021",2006,"female",83,84,85,88
"E06000021",2006,"male",79,80,81,86
"E06000021",2007,"female",83,83,85,88
"E06000021",2007,"male",79,80,81,86
"E06000021",2008,"female",84,84,85,88
"E06000021",2008,"male",80,81,82,86
"E06000021",2009,"female",83,83,84,88
"E06000021",2009,"male",80,81,82,86
"E06000021",2010,"female",84,84,86,89
"E06000021",2010,"male",81,82,83,87
"E06000021",2011,"female",84,85,86,88
"E06000021",2011,"male",81,82,83,87
"E06000021",2012,"female",85,85,86,89
"E06000021",2012,"male",80,81,82,87
"E06000021",2013,"female",85,85,86,89
"E06000021",2013,"male",80,81,83,87
"E06000022",2002,"female",86,86,87,89
"E06000022",2002,"male",81,82,83,87
"E06000022",2003,"female",86,86,87,89
"E06000022",2003,"male",82,83,84,88
"E06000022",2004,"female",86,86,87,89
"E06000022",2004,"male",82,83,84,88
"E06000022",2005,"female",86,86,86,89
"E06000022",2005,"male",82,82,84,88
"E06000022",2006,"female",87,87,87,90
"E06000022",2006,"male",83,83,84,88
"E06000022",2007,"female",87,87,88,90
"E06000022",2007,"male",82,83,84,88
"E06000022",2008,"female",87,87,88,89
"E06000022",2008,"male",84,84,85,88
"E06000022",2009,"female",87,87,88,90
"E06000022",2009,"male",85,85,86,89
"E06000022",2010,"female",88,88,88,NA
"E06000022",2010,"male",83,83,84,88
"E06000022",2011,"female",88,88,88,90
"E06000022",2011,"male",84,84,85,88
"E06000022",2012,"female",88,88,88,90
"E06000022",2012,"male",85,85,86,89
"E06000022",2013,"female",88,88,88,90
"E06000022",2013,"male",85,85,86,88
"E06000023",2002,"female",84,84,85,89
"E06000023",2002,"male",78,79,81,87
"E06000023",2003,"female",84,85,86,88
"E06000023",2003,"male",79,80,81,87
"E06000023",2004,"female",84,84,85,88
"E06000023",2004,"male",80,81,82,87
"E06000023",2005,"female",85,85,86,89
"E06000023",2005,"male",80,80,82,87
"E06000023",2006,"female",85,86,87,89
"E06000023",2006,"male",80,80,82,87
"E06000023",2007,"female",85,85,86,89
"E06000023",2007,"male",81,81,83,88
"E06000023",2008,"female",85,86,87,89
"E06000023",2008,"male",81,81,83,87
"E06000023",2009,"female",86,86,87,90
"E06000023",2009,"male",80,81,83,87
"E06000023",2010,"female",86,86,87,89
"E06000023",2010,"male",82,82,83,88
"E06000023",2011,"female",86,86,87,89
"E06000023",2011,"male",83,83,84,88
"E06000023",2012,"female",86,86,87,90
"E06000023",2012,"male",82,83,84,88
"E06000023",2013,"female",86,87,88,90
"E06000023",2013,"male",82,82,84,87
"E06000024",2002,"female",85,85,86,89
"E06000024",2002,"male",81,81,82,87
"E06000024",2003,"female",85,86,86,88
"E06000024",2003,"male",81,82,83,87
"E06000024",2004,"female",86,87,87,89
"E06000024",2004,"male",81,82,83,87
"E06000024",2005,"female",86,86,86,89
"E06000024",2005,"male",82,82,84,88
"E06000024",2006,"female",86,87,87,89
"E06000024",2006,"male",83,83,84,88
"E06000024",2007,"female",86,86,87,90
"E06000024",2007,"male",83,84,84,88
"E06000024",2008,"female",86,87,87,90
"E06000024",2008,"male",83,84,85,88
"E06000024",2009,"female",87,87,88,90
"E06000024",2009,"male",83,83,84,88
"E06000024",2010,"female",88,88,88,90
"E06000024",2010,"male",84,84,85,88
"E06000024",2011,"female",87,87,88,90
"E06000024",2011,"male",84,85,85,88
"E06000024",2012,"female",87,88,88,90
"E06000024",2012,"male",83,84,85,88
"E06000024",2013,"female",87,87,88,90
"E06000024",2013,"male",84,85,85,88
"E06000025",2002,"female",86,86,87,89
"E06000025",2002,"male",82,83,83,87
"E06000025",2003,"female",85,86,87,89
"E06000025",2003,"male",82,82,83,87
"E06000025",2004,"female",85,86,86,89
"E06000025",2004,"male",82,82,84,87
"E06000025",2005,"female",87,87,88,89
"E06000025",2005,"male",82,83,83,88
"E06000025",2006,"female",87,87,88,90
"E06000025",2006,"male",83,84,84,88
"E06000025",2007,"female",87,87,87,89
"E06000025",2007,"male",83,83,84,88
"E06000025",2008,"female",87,87,88,90
"E06000025",2008,"male",83,84,84,87
"E06000025",2009,"female",87,87,87,90
"E06000025",2009,"male",83,84,85,87
"E06000025",2010,"female",87,87,88,90
"E06000025",2010,"male",84,85,86,89
"E06000025",2011,"female",87,87,88,90
"E06000025",2011,"male",84,84,85,88
"E06000025",2012,"female",88,88,88,90
"E06000025",2012,"male",85,85,86,88
"E06000025",2013,"female",87,88,88,90
"E06000025",2013,"male",85,85,85,88
"E06000026",2002,"female",84,84,85,89
"E06000026",2002,"male",79,80,82,86
"E06000026",2003,"female",84,85,86,88
"E06000026",2003,"male",79,80,82,87
"E06000026",2004,"female",84,84,85,88
"E06000026",2004,"male",79,80,82,86
"E06000026",2005,"female",85,85,86,89
"E06000026",2005,"male",80,81,82,86
"E06000026",2006,"female",85,86,86,89
"E06000026",2006,"male",80,80,82,87
"E06000026",2007,"female",85,85,86,89
"E06000026",2007,"male",81,82,83,88
"E06000026",2008,"female",85,86,86,89
"E06000026",2008,"male",81,82,83,87
"E06000026",2009,"female",86,86,87,89
"E06000026",2009,"male",82,82,83,87
"E06000026",2010,"female",85,86,87,89
"E06000026",2010,"male",82,83,84,88
"E06000026",2011,"female",86,86,87,90
"E06000026",2011,"male",82,83,83,88
"E06000026",2012,"female",87,87,87,90
"E06000026",2012,"male",82,83,84,88
"E06000026",2013,"female",85,86,86,89
"E06000026",2013,"male",82,83,84,88
"E06000027",2002,"female",85,86,86,89
"E06000027",2002,"male",81,82,83,87
"E06000027",2003,"female",85,86,87,89
"E06000027",2003,"male",81,82,83,87
"E06000027",2004,"female",85,86,86,88
"E06000027",2004,"male",81,81,83,87
"E06000027",2005,"female",86,86,86,89
"E06000027",2005,"male",80,81,82,88
"E06000027",2006,"female",87,87,88,90
"E06000027",2006,"male",81,82,83,87
"E06000027",2007,"female",86,87,87,90
"E06000027",2007,"male",82,83,84,88
"E06000027",2008,"female",86,87,88,90
