"year","age","population_count","sex","region"
"1982",10,"38180","female","scotland"
"1982",11,"82520","total","scotland"
"1982",11,"42220","male","scotland"
"1982",11,"40300","female","scotland"
"1982",12,"83153","total","scotland"
"1982",12,"42438","male","scotland"
"1982",12,"40715","female","scotland"
"1982",13,"86426","total","scotland"
"1982",13,"44348","male","scotland"
"1982",13,"42078","female","scotland"
"1982",14,"88776","total","scotland"
"1982",14,"45380","male","scotland"
"1982",14,"43396","female","scotland"
"1982",15,"90423","total","scotland"
"1982",15,"46606","male","scotland"
"1982",15,"43817","female","scotland"
"1982",16,"89487","total","scotland"
"1982",16,"45715","male","scotland"
"1982",16,"43772","female","scotland"
"1982",17,"94327","total","scotland"
"1982",17,"48201","male","scotland"
"1982",17,"46126","female","scotland"
"1982",18,"92692","total","scotland"
"1982",18,"47000","male","scotland"
"1982",18,"45692","female","scotland"
"1982",19,"90580","total","scotland"
"1982",19,"45953","male","scotland"
"1982",19,"44627","female","scotland"
"1982",20,"89395","total","scotland"
"1982",20,"45553","male","scotland"
"1982",20,"43842","female","scotland"
"1982",21,"87296","total","scotland"
"1982",21,"44261","male","scotland"
"1982",21,"43035","female","scotland"
"1982",22,"85086","total","scotland"
"1982",22,"43419","male","scotland"
"1982",22,"41667","female","scotland"
"1982",23,"82347","total","scotland"
"1982",23,"41711","male","scotland"
"1982",23,"40636","female","scotland"
"1982",24,"79203","total","scotland"
"1982",24,"39956","male","scotland"
"1982",24,"39247","female","scotland"
"1982",25,"76278","total","scotland"
"1982",25,"38512","male","scotland"
"1982",25,"37766","female","scotland"
"1982",26,"74424","total","scotland"
"1982",26,"37744","male","scotland"
"1982",26,"36680","female","scotland"
"1982",27,"71219","total","scotland"
"1982",27,"35821","male","scotland"
"1982",27,"35398","female","scotland"
"1982",28,"70770","total","scotland"
"1982",28,"35555","male","scotland"
"1982",28,"35215","female","scotland"
"1982",29,"69262","total","scotland"
"1982",29,"34855","male","scotland"
"1982",29,"34407","female","scotland"
"1982",30,"66987","total","scotland"
"1982",30,"33562","male","scotland"
"1982",30,"33425","female","scotland"
"1982",31,"68837","total","scotland"
"1982",31,"34565","male","scotland"
"1982",31,"34272","female","scotland"
"1982",32,"69352","total","scotland"
"1982",32,"34951","male","scotland"
"1982",32,"34401","female","scotland"
"1982",33,"71730","total","scotland"
"1982",33,"36031","male","scotland"
"1982",33,"35699","female","scotland"
"1982",34,"74974","total","scotland"
"1982",34,"37577","male","scotland"
"1982",34,"37397","female","scotland"
"1982",35,"81653","total","scotland"
"1982",35,"40943","male","scotland"
"1982",35,"40710","female","scotland"
"1982",36,"63168","total","scotland"
"1982",36,"31628","male","scotland"
"1982",36,"31540","female","scotland"
"1982",37,"60794","total","scotland"
"1982",37,"30396","male","scotland"
"1982",37,"30398","female","scotland"
"1982",38,"63214","total","scotland"
"1982",38,"31556","male","scotland"
"1982",38,"31658","female","scotland"
"1982",39,"62465","total","scotland"
"1982",39,"30938","male","scotland"
"1982",39,"31527","female","scotland"
"1982",40,"59075","total","scotland"
"1982",40,"29149","male","scotland"
"1982",40,"29926","female","scotland"
"1982",41,"56276","total","scotland"
"1982",41,"27644","male","scotland"
"1982",41,"28632","female","scotland"
"1982",42,"58694","total","scotland"
"1982",42,"28755","male","scotland"
"1982",42,"29939","female","scotland"
"1982",43,"58948","total","scotland"
"1982",43,"28997","male","scotland"
"1982",43,"29951","female","scotland"
"1982",44,"59053","total","scotland"
"1982",44,"29127","male","scotland"
"1982",44,"29926","female","scotland"
"1982",45,"58404","total","scotland"
"1982",45,"28315","male","scotland"
"1982",45,"30089","female","scotland"
"1982",46,"58137","total","scotland"
"1982",46,"28319","male","scotland"
"1982",46,"29818","female","scotland"
"1982",47,"57642","total","scotland"
"1982",47,"28117","male","scotland"
"1982",47,"29525","female","scotland"
"1982",48,"57019","total","scotland"
"1982",48,"27934","male","scotland"
"1982",48,"29085","female","scotland"
"1982",49,"56894","total","scotland"
"1982",49,"27635","male","scotland"
"1982",49,"29259","female","scotland"
"1982",50,"59093","total","scotland"
"1982",50,"28561","male","scotland"
"1982",50,"30532","female","scotland"
"1982",51,"59068","total","scotland"
"1982",51,"28569","male","scotland"
"1982",51,"30499","female","scotland"
"1982",52,"59047","total","scotland"
"1982",52,"28281","male","scotland"
"1982",52,"30766","female","scotland"
"1982",53,"58469","total","scotland"
"1982",53,"28069","male","scotland"
"1982",53,"30400","female","scotland"
"1982",54,"57597","total","scotland"
"1982",54,"27759","male","scotland"
"1982",54,"29838","female","scotland"
"1982",55,"57989","total","scotland"
"1982",55,"27759","male","scotland"
"1982",55,"30230","female","scotland"
"1982",56,"59296","total","scotland"
"1982",56,"28381","male","scotland"
"1982",56,"30915","female","scotland"
"1982",57,"57503","total","scotland"
"1982",57,"27485","male","scotland"
"1982",57,"30018","female","scotland"
"1982",58,"57994","total","scotland"
"1982",58,"27568","male","scotland"
"1982",58,"30426","female","scotland"
"1982",59,"56588","total","scotland"
"1982",59,"26629","male","scotland"
"1982",59,"29959","female","scotland"
"1982",60,"59640","total","scotland"
"1982",60,"28013","male","scotland"
"1982",60,"31627","female","scotland"
"1982",61,"60225","total","scotland"
"1982",61,"27644","male","scotland"
"1982",61,"32581","female","scotland"
"1982",62,"62807","total","scotland"
"1982",62,"28494","male","scotland"
"1982",62,"34313","female","scotland"
"1982",63,"44430","total","scotland"
"1982",63,"19818","male","scotland"
"1982",63,"24612","female","scotland"
"1982",64,"42461","total","scotland"
"1982",64,"18881","male","scotland"
"1982",64,"23580","female","scotland"
"1982",65,"45106","total","scotland"
"1982",65,"20130","male","scotland"
"1982",65,"24976","female","scotland"
"1982",66,"47197","total","scotland"
"1982",66,"20697","male","scotland"
"1982",66,"26500","female","scotland"
"1982",67,"50124","total","scotland"
"1982",67,"21749","male","scotland"
"1982",67,"28375","female","scotland"
"1982",68,"49390","total","scotland"
"1982",68,"21205","male","scotland"
"1982",68,"28185","female","scotland"
"1982",69,"47598","total","scotland"
"1982",69,"20504","male","scotland"
"1982",69,"27094","female","scotland"
"1982",70,"45628","total","scotland"
"1982",70,"19381","male","scotland"
"1982",70,"26247","female","scotland"
"1982",71,"43955","total","scotland"
"1982",71,"18215","male","scotland"
"1982",71,"25740","female","scotland"
"1982",72,"42615","total","scotland"
"1982",72,"17289","male","scotland"
"1982",72,"25326","female","scotland"
