ecode,ecode_la_name,ecode_region,ecode_class,ons_code,ons_la_name,ons_region_code,ons_region_name
E1733,Eastleigh,SE,SD,E07000086,Eastleigh,E12000008,South East
E1734,Fareham,SE,SD,E07000087,Fareham,E12000008,South East
E1735,Gosport,SE,SD,E07000088,Gosport,E12000008,South East
E1736,Hart,SE,SD,E07000089,Hart,E12000008,South East
E1737,Havant,SE,SD,E07000090,Havant,E12000008,South East
E1738,New Forest,SE,SD,E07000091,New Forest,E12000008,South East
E1740,Rushmoor,SE,SD,E07000092,Rushmoor,E12000008,South East
E1742,Test Valley,SE,SD,E07000093,Test Valley,E12000008,South East
E1743,Winchester,SE,SD,E07000094,Winchester,E12000008,South East
E1801,Herefordshire UA,WM,UA,E06000019,"Herefordshire, County of",E12000005,West Midlands
E1821,Worcestershire,WM,SC,E10000034,Worcestershire,E12000005,West Midlands
E1831,Bromsgrove,WM,SD,E07000234,Bromsgrove,E12000005,West Midlands
E1835,Redditch,WM,SD,E07000236,Redditch,E12000005,West Midlands
E1837,Worcester,WM,SD,E07000237,Worcester,E12000005,West Midlands
E1838,Wychavon,WM,SD,E07000238,Wychavon,E12000005,West Midlands
E1839,Wyre Forest,WM,SD,E07000239,Wyre Forest,E12000005,West Midlands
E1851,Malvern Hills,WM,SD,E07000235,Malvern Hills,E12000005,West Midlands
E1920,Hertfordshire,EE,SC,E10000015,Hertfordshire,E12000006,East of England
E1931,Broxbourne,EE,SD,E07000095,Broxbourne,E12000006,East of England
E1932,Dacorum,EE,SD,E07000096,Dacorum,E12000006,East of England
E1933,East Hertfordshire,EE,SD,E07000242,East Hertfordshire,E12000006,East of England
E1934,Hertsmere,EE,SD,E07000098,Hertsmere,E12000006,East of England
E1935,North Hertfordshire,EE,SD,E07000099,North Hertfordshire,E12000006,East of England
E1936,St Albans,EE,SD,E07000240,St Albans,E12000006,East of England
E1937,Stevenage,EE,SD,E07000243,Stevenage,E12000006,East of England
E1938,Three Rivers,EE,SD,E07000102,Three Rivers,E12000006,East of England
E1939,Watford,EE,SD,E07000103,Watford,E12000006,East of England
E1940,Welwyn Hatfield,EE,SD,E07000241,Welwyn Hatfield,E12000006,East of England
E2001,East Riding of Yorkshire UA,YH,UA,E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber
E2002,Kingston upon Hull UA,YH,UA,E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber
E2003,North East Lincolnshire UA,YH,UA,E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber
E2004,North Lincolnshire UA,YH,UA,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber
E2101,Isle of Wight UA,SE,UA,E06000046,Isle of Wight,E12000008,South East
E2201,The Medway Towns UA,SE,UA,E06000035,Medway,E12000008,South East
E2221,Kent,SE,SC,E10000016,Kent,E12000008,South East
E2231,Ashford,SE,SD,E07000105,Ashford,E12000008,South East
E2232,Canterbury,SE,SD,E07000106,Canterbury,E12000008,South East
E2233,Dartford,SE,SD,E07000107,Dartford,E12000008,South East
E2234,Dover,SE,SD,E07000108,Dover,E12000008,South East
E2236,Gravesham,SE,SD,E07000109,Gravesham,E12000008,South East
E2237,Maidstone,SE,SD,E07000110,Maidstone,E12000008,South East
E2239,Sevenoaks,SE,SD,E07000111,Sevenoaks,E12000008,South East
E2240,Shepway,SE,SD,E07000112,Shepway,E12000008,South East
E2241,Swale,SE,SD,E07000113,Swale,E12000008,South East
E2242,Thanet,SE,SD,E07000114,Thanet,E12000008,South East
E2243,Tonbridge & Malling,SE,SD,E07000115,Tonbridge and Malling,E12000008,South East
E2244,Tunbridge Wells,SE,SD,E07000116,Tunbridge Wells,E12000008,South East
E2301,Blackburn with Darwen UA,NW,UA,E06000008,Blackburn with Darwen,E12000002,North West
E2302,Blackpool UA,NW,UA,E06000009,Blackpool,E12000002,North West
E2321,Lancashire,NW,SC,E10000017,Lancashire,E12000002,North West
E2333,Burnley,NW,SD,E07000117,Burnley,E12000002,North West
E2334,Chorley,NW,SD,E07000118,Chorley,E12000002,North West
E2335,Fylde,NW,SD,E07000119,Fylde,E12000002,North West
E2336,Hyndburn,NW,SD,E07000120,Hyndburn,E12000002,North West
E2337,Lancaster,NW,SD,E07000121,Lancaster,E12000002,North West
E2338,Pendle,NW,SD,E07000122,Pendle,E12000002,North West
E2339,Preston,NW,SD,E07000123,Preston,E12000002,North West
E2340,Ribble Valley,NW,SD,E07000124,Ribble Valley,E12000002,North West
E2341,Rossendale,NW,SD,E07000125,Rossendale,E12000002,North West
E2342,South Ribble,NW,SD,E07000126,South Ribble,E12000002,North West
E2343,West Lancashire,NW,SD,E07000127,West Lancashire,E12000002,North West
E2344,Wyre,NW,SD,E07000128,Wyre,E12000002,North West
E2401,Leicester City UA,EM,UA,E06000016,Leicester,E12000004,East Midlands
E2402,Rutland UA,EM,UA,E06000017,Rutland,E12000004,East Midlands
E2421,Leicestershire,EM,SC,E10000018,Leicestershire,E12000004,East Midlands
E2431,Blaby,EM,SD,E07000129,Blaby,E12000004,East Midlands
E2432,Charnwood,EM,SD,E07000130,Charnwood,E12000004,East Midlands
E2433,Harborough,EM,SD,E07000131,Harborough,E12000004,East Midlands
E2434,Hinckley & Bosworth,EM,SD,E07000132,Hinckley and Bosworth,E12000004,East Midlands
E2436,Melton,EM,SD,E07000133,Melton,E12000004,East Midlands
E2437,North West Leicestershire,EM,SD,E07000134,North West Leicestershire,E12000004,East Midlands
E2438,Oadby & Wigston,EM,SD,E07000135,Oadby and Wigston,E12000004,East Midlands
E2520,Lincolnshire,EM,SC,E10000019,Lincolnshire,E12000004,East Midlands
E2531,Boston,EM,SD,E07000136,Boston,E12000004,East Midlands
E2532,East Lindsey,EM,SD,E07000137,East Lindsey,E12000004,East Midlands
E2533,Lincoln,EM,SD,E07000138,Lincoln,E12000004,East Midlands
E2534,North Kesteven,EM,SD,E07000139,North Kesteven,E12000004,East Midlands
E2535,South Holland,EM,SD,E07000140,South Holland,E12000004,East Midlands
E2536,South Kesteven,EM,SD,E07000141,South Kesteven,E12000004,East Midlands
E2537,West Lindsey,EM,SD,E07000142,West Lindsey,E12000004,East Midlands
E2620,Norfolk,EE,SC,E10000020,Norfolk,E12000006,East of England
E2631,Breckland,EE,SD,E07000143,Breckland,E12000006,East of England
E2632,Broadland,EE,SD,E07000144,Broadland,E12000006,East of England
E2633,Great Yarmouth,EE,SD,E07000145,Great Yarmouth,E12000006,East of England
E2634,King's Lynn & West Norfolk,EE,SD,E07000146,King's Lynn and West Norfolk,E12000006,East of England
E2635,North Norfolk,EE,SD,E07000147,North Norfolk,E12000006,East of England
E2636,Norwich,EE,SD,E07000148,Norwich,E12000006,East of England
E2637,South Norfolk,EE,SD,E07000149,South Norfolk,E12000006,East of England
E2701,York UA,YH,UA,E06000014,York,E12000003,Yorkshire and The Humber
E2721,North Yorkshire,YH,SC,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber
